epoch,train_accuracy,test_accuracy,train_loss,test_loss,learning_rate
0,34.348,47.05,1.8979368839645385,1.5727379306793212,0.1
1,51.03,56.49,1.462838962249756,1.3650987915039063,0.09990133642141358
2,61.3,61.2,1.2412832839584351,1.2780251405715943,0.0996057350657239
3,66.536,67.34,1.1214752909469605,1.1138978645324706,0.09911436253643444
4,69.366,70.64,1.0487640401649476,1.0563073860168457,0.09842915805643154
5,73.01,73.88,0.9742005843734741,0.9724407730102539,0.09755282581475767
6,75.89,72.19,0.908351971244812,1.071258226966858,0.09648882429441256
7,77.646,78.78,0.8660560404586792,0.853628372001648,0.09524135262330098
8,79.524,73.11,0.8233252720451355,1.0634521717071532,0.09381533400219318
9,80.374,79.53,0.795735528640747,0.8282577927589416,0.09221639627510075
10,81.582,78.8,0.7756314269638062,0.8669425401687622,0.09045084971874737
11,82.14,79.6,0.7573444605445862,0.830218780708313,0.08852566213878946
12,82.9,81.76,0.7382535272598266,0.7783020203590393,0.08644843137107057
13,83.908,81.88,0.7209550442314148,0.7910516506195069,0.08422735529643442
14,84.104,84.17,0.7115713311576843,0.7047281228542328,0.08187119948743447
15,84.81,84.46,0.6930364735221862,0.712171692276001,0.07938926261462366
16,85.244,82.2,0.6811651222419739,0.7667597645759583,0.07679133974894982
17,85.77,83.94,0.6723930700111389,0.7447920282363891,0.07408768370508576
18,86.33,85.93,0.6592362845611572,0.6834202283859253,0.07128896457825362
19,86.576,83.29,0.6502377911186218,0.7495439776420594,0.06840622763423389
20,87.166,86.46,0.6380299725723266,0.6767931940078735,0.06545084971874736
21,87.186,87.29,0.634217525062561,0.6544683092117309,0.06243449435824272
22,87.698,83.86,0.6208362852096557,0.7378472093582154,0.05936906572928623
23,88.282,85.76,0.6079010952758789,0.6726789962768555,0.056266661678215216
24,88.872,85.88,0.5945188294029236,0.6848919241905213,0.053139525976465665
25,89.108,87.59,0.5868648440361023,0.6260300404548645,0.049999999999999996
26,89.722,87.41,0.5741077244567871,0.6536346126556396,0.046860474023534326
27,90.008,88.09,0.5630525958442688,0.6245792399406433,0.04373333832178478
28,90.662,86.07,0.5512867136955262,0.6860653100013733,0.040630934270713764
29,91.002,87.24,0.5395533671951294,0.6422887298583985,0.03756550564175726
30,91.608,88.59,0.5271360519981384,0.6080129068374633,0.03454915028125265
31,91.99,89.54,0.515253521194458,0.5846132837295532,0.03159377236576612
32,92.574,90.92,0.500967290725708,0.5510920110702515,0.028711035421746366
33,93.348,90.51,0.4861410596466064,0.5560539595603943,0.025912316294914226
34,93.704,91.39,0.4773412951850891,0.5414011616706849,0.023208660251050155
35,94.448,91.46,0.4582403046131134,0.5368580940246582,0.020610737385376346
36,94.674,92.0,0.45236783485412596,0.5237297576904297,0.01812880051256551
37,95.426,92.36,0.43544284465789795,0.5111849504470826,0.015772644703565562
38,95.75,93.08,0.4251859366607666,0.49299560317993163,0.013551568628929433
39,96.352,92.96,0.41393624090194703,0.4942921522140503,0.011474337861210542
40,96.6,93.38,0.40349431302070615,0.4800240384578705,0.009549150281252632
41,96.998,93.61,0.3943565479469299,0.4754204724788666,0.007783603724899257
42,97.424,94.32,0.383830493555069,0.4650321618556976,0.0061846659978068205
43,97.726,94.26,0.37548537362098694,0.46330340051651003,0.004758647376699033
44,97.94,94.49,0.3715455837059021,0.457822504234314,0.0035111757055874327
45,98.122,94.6,0.3652719561672211,0.452633961725235,0.0024471741852423235
46,98.116,94.55,0.3635006100845337,0.45140410413742066,0.0015708419435684518
47,98.218,94.56,0.3603029804801941,0.45283650646209717,0.000885637463565564
48,98.362,94.69,0.35821652985572816,0.45080577449798587,0.00039426493427611173
49,98.294,94.7,0.3581832601737976,0.4494699606895447,9.866357858642205e-05
50,98.434,94.61,0.3559875428581238,0.44966915674209595,0.0
