epoch,train_accuracy,test_accuracy,train_loss,test_loss,learning_rate
149,76.216,94.78,1.5284950259017944,0.44147923374176024,0.001
150,76.258,94.74,1.5198967889022827,0.4452726011276245,0.0009990133642141358
151,75.794,94.83,1.5309515224266053,0.44166349468231203,0.000996057350657239
152,77.858,94.81,1.4648238008499146,0.4404615885734558,0.0009911436253643444
153,77.178,94.81,1.5010749817276001,0.4385404273033142,0.0009842915805643156
154,78.424,94.97,1.4596256734848023,0.43260183515548706,0.0009755282581475769
155,77.052,94.91,1.4820201420974732,0.4365250429153442,0.0009648882429441258
156,77.306,94.82,1.469720671043396,0.4378673206329346,0.0009524135262330099
157,77.948,95.01,1.4466572475814818,0.42895407619476317,0.0009381533400219318
158,76.272,94.93,1.50469030875206,0.43610432662963866,0.0009221639627510075
159,77.076,94.95,1.4901368952560425,0.43324679327011106,0.0009045084971874736
160,77.698,94.85,1.4658030395126342,0.4365107286453247,0.0008852566213878945
161,77.352,95.11,1.470732179298401,0.42880220136642455,0.0008644843137107056
162,77.71,94.79,1.4577156820297241,0.43654348964691164,0.0008422735529643443
163,78.0,95.12,1.4739663513755799,0.4296806413650513,0.0008187119948743448
164,76.958,94.69,1.4849371531677247,0.4444957829475403,0.0007938926261462366
165,78.284,94.91,1.4461507823181152,0.4357571495056152,0.0007679133974894982
166,77.39,94.96,1.4583906768417358,0.43533167610168455,0.0007408768370508576
167,77.796,95.03,1.506090993347168,0.43010582084655763,0.0007128896457825362
168,78.194,94.9,1.4894714475250244,0.4357408521652222,0.0006840622763423389
169,77.396,94.87,1.4896146631622313,0.43845006437301637,0.0006545084971874735
170,77.34,94.57,1.4955551419830322,0.4464923292160034,0.0006243449435824271
171,76.842,94.95,1.5154931253051758,0.4319770505905151,0.0005936906572928622
172,78.368,94.86,1.431962852077484,0.4368116277694702,0.000562666616782152
173,77.636,94.66,1.4753547972869874,0.44702327222824095,0.0005313952597646566
174,76.16,94.9,1.4718669020080566,0.44077450094223025,0.0004999999999999998
175,75.496,94.79,1.5225697974777221,0.4427155114173889,0.00046860474023534314
176,75.774,94.82,1.53353147857666,0.44118973236083986,0.00043733338321784774
177,77.538,94.8,1.477512214050293,0.4414744104385376,0.00040630934270713756
178,78.358,95.02,1.430379963760376,0.4311144727706909,0.00037565505641757246
179,77.468,94.82,1.468621776895523,0.4369690274238586,0.00034549150281252633
180,78.104,94.82,1.461389104423523,0.43641529455184935,0.00031593772365766105
181,78.748,94.91,1.4310784050750733,0.43202302284240723,0.00028711035421746355
182,77.57,94.99,1.4512690369796752,0.4315243995666504,0.0002591231629491422
149,77.84,94.91,1.4679457798576354,0.43182299404144286,0.01
150,77.368,94.96,1.4883689352035523,0.4331865708351135,0.009990133642141357
151,76.706,94.64,1.5041799187850953,0.4468792163848877,0.009960573506572389
152,77.688,94.96,1.5034417991256714,0.4319107828140259,0.009911436253643442
153,78.634,94.79,1.4583594007873535,0.44257069301605223,0.009842915805643154
154,75.436,94.96,1.544361026096344,0.43140335664749146,0.009755282581475767
155,76.688,94.89,1.5070480465698242,0.4370096822738647,0.009648882429441256
156,77.488,94.97,1.4737675476264953,0.43300874881744383,0.009524135262330098
157,77.632,94.82,1.4829816896057129,0.4373139561653137,0.009381533400219317
158,77.976,94.71,1.4533976181793213,0.4455729028701782,0.009221639627510075
159,76.114,94.66,1.4908813875961304,0.4417465118408203,0.009045084971874737
160,77.07,95.02,1.4935298527145386,0.4328503471374512,0.008852566213878947
161,76.954,94.83,1.5206347620773315,0.4381153712272644,0.008644843137107058
162,78.5,94.65,1.4467236911773682,0.442020766544342,0.008422735529643444
163,76.918,95.09,1.497586217880249,0.43173409118652345,0.00818711994874345
164,77.624,94.96,1.48208749458313,0.43228022565841673,0.007938926261462368
165,77.774,94.56,1.4714274648284913,0.45133830099105837,0.007679133974894984
166,75.92,94.92,1.5274196759414673,0.43839320936203,0.007408768370508577
167,76.97,94.92,1.4901467917442321,0.43152787799835207,0.0071288964578253644
168,77.214,94.89,1.4925167570114135,0.43513125476837156,0.0068406227634233915
169,76.776,94.69,1.476489526977539,0.444208111000061,0.006545084971874738
170,76.414,94.8,1.491921921977997,0.4381254121780396,0.006243449435824274
171,74.934,94.88,1.5095885650253296,0.43625047340393064,0.005936906572928625
172,76.806,94.69,1.5032229656219482,0.4435678298950195,0.005626666167821524
173,75.564,94.67,1.541466330833435,0.44436365795135496,0.005313952597646569
174,76.49,94.76,1.491000426940918,0.43952349061965945,0.005000000000000002
175,78.084,94.59,1.4821159313201904,0.4493767249107361,0.004686047402353435
176,78.032,94.79,1.4857123613739014,0.4347313076972961,0.004373333832178481
177,75.458,94.87,1.540543002243042,0.43678085021972657,0.0040630934270713785
178,76.186,95.01,1.516552104473114,0.4279837176322937,0.0037565505641757274
179,75.486,94.81,1.5593147911834717,0.44048876247406005,0.0034549150281252662
180,77.378,95.03,1.481666041250229,0.42993684034347535,0.0031593772365766134
181,77.012,94.49,1.5102551231765746,0.45033267097473145,0.0028711035421746384
182,77.378,94.83,1.4953720859718322,0.43874663734436037,0.002591231629491424
183,75.694,94.82,1.5488174420547485,0.44153363342285157,0.0023208660251050166
184,75.936,94.9,1.5317480326080322,0.43548294448852537,0.0020610737385376356
185,76.336,94.79,1.5172248075485228,0.4415034063339233,0.001812880051256552
186,78.026,94.95,1.4668153857803345,0.43373859539031984,0.001577264470356557
187,77.894,94.69,1.4518274709701537,0.44295428867340086,0.0013551568628929439
188,78.654,94.92,1.4427702492141723,0.43327105770111085,0.0011474337861210548
189,77.594,94.96,1.4758100175857545,0.4347456025123596,0.0009549150281252636
190,76.92,94.61,1.5074668757247924,0.445177387046814,0.000778360372489926
191,76.692,94.96,1.4850658806610106,0.4313363453865051,0.0006184665997806823
192,76.916,94.97,1.466259056854248,0.4329103895187378,0.0004758647376699034
193,76.196,94.98,1.5016370598983764,0.43358153676986694,0.0003511175705587434
194,76.962,95.06,1.4802310249710082,0.43007335262298585,0.00024471741852423245
195,76.96,94.79,1.50333818775177,0.44014735984802245,0.00015708419435684522
196,76.2,94.88,1.5024028508377074,0.4334251558303833,8.856374635655642e-05
197,76.42,94.64,1.5129327096557617,0.4467478451728821,3.942649342761119e-05
198,75.894,94.95,1.5076022797775268,0.43203060035705565,9.866357858642208e-06
199,78.212,94.91,1.4610862944030762,0.4338936149597168,0.0
