epoch,train_avg_loss,train_accuracy,test_avg_loss,test_accuracy
0,2.232385832330455,20.99,1.8940559761433662,31.45
1,1.802273408531228,34.906,1.7193754172023339,40.93
2,1.570887158593863,45.808,1.4910636732849893,52.01
3,1.3884097691387167,54.142,1.292136485063577,59.28
4,1.242110102073006,61.134,1.2803580745866028,60.94
5,1.1364478763107144,65.816,1.1692048839375944,66.08
6,1.0547424551776,69.018,1.1064822968048384,68.13
7,0.9831512972826848,72.212,1.007638991633548,73.13
8,0.9249860965992178,74.962,0.9619712912583653,73.82
9,0.8843166274792703,76.562,0.8486554916900925,77.69
10,0.8500023493376534,78.076,0.8968693621550934,76.58
11,0.8225256916507125,79.12,0.9008960497530201,77.06
12,0.798651094174446,80.126,0.808329000503202,80.55
13,0.7735105278851736,81.024,0.8026340996162801,80.4
14,0.7594652960977286,81.67,0.7839545728285101,80.56
15,0.7400648170115088,82.58,0.787499838237521,80.67
16,0.7313089417984419,82.908,0.773123791700677,81.49
17,0.7204732503122686,83.042,0.758804500857486,82.63
18,0.7087325037592818,83.712,0.8283296974399422,79.63
19,0.7045823626810938,83.882,0.6971825987477845,84.07
20,0.687322333188313,84.452,0.7181685936601856,83.14
21,0.6841070659630134,84.66,0.8530979171583924,79.37
22,0.677850518994929,84.802,0.777910784830021,81.74
23,0.6734607338600451,84.904,0.6549713241903088,86.37
24,0.6628561884241031,85.512,0.6809626282015934,84.5
25,0.6544521687280797,85.68,0.7942234760598291,80.05
26,0.6576727265134796,85.636,0.6899463572079623,84.59
27,0.646702485621128,86.136,0.6737385188476949,85.37
28,0.6410304304888791,86.182,0.7066440521916256,83.98
29,0.6386021500658197,86.392,0.6784106017668036,84.97
30,0.6322357713261528,86.51,0.6956637018843542,85.14
31,0.6283814280539217,86.744,0.6281738179393962,87.15
32,0.624469715082432,86.732,0.6737813632699508,85.84
33,0.6190405945338862,87.188,0.6573510728304899,86.39
34,0.6161706421686255,87.184,0.7120326923418648,83.93
35,0.6110897080215347,87.46,0.6608319139178795,86.0
36,0.6057364669297357,87.654,0.6241040229797363,87.31
37,0.5985712681127631,88.008,0.6795857518534117,85.52
38,0.6009298322145896,87.904,0.6137124865869933,87.7
39,0.5945661464310668,88.096,0.5843031655384016,88.5
40,0.5844517469863453,88.418,0.6288522927066947,87.38
41,0.5842624451498242,88.45,0.6648102093346512,85.72
42,0.5780383880485964,88.77,0.6443818392632883,86.35
43,0.5729540689369602,89.018,0.5783488486386552,88.95
44,0.5674077513272805,89.06,0.6103745680066603,87.69
45,0.5621616680298924,89.318,0.5519036922273757,90.16
46,0.5587021915808968,89.556,0.6220777589309064,87.42
47,0.5563966521369222,89.476,0.6703003780751289,85.38
48,0.5473359115898152,89.94,0.5836109703854669,88.89
49,0.5457015337846468,89.95,0.5966890473154527,88.19
50,0.5389880632500514,90.168,0.6053611794604531,88.06
51,0.5361242092326474,90.382,0.5985498975349378,88.18
52,0.5299024515597107,90.586,0.5748593558239031,89.4
53,0.5301846737599434,90.65,0.5568543163281453,89.93
54,0.516885504545763,91.176,0.5626285162907613,89.34
55,0.5099238668713728,91.372,0.5554307174833515,89.44
56,0.5059886266813254,91.622,0.5569572871244406,89.81
57,0.5013319532127332,91.758,0.5401431982275806,90.38
58,0.500108333880944,91.848,0.5359341826619981,90.6
59,0.4929945173165987,92.028,0.5465966391412518,90.39
60,0.48687946369580903,92.298,0.525962863164612,90.86
61,0.48486410489167703,92.35,0.5128850801081597,91.67
62,0.4762774974183963,92.744,0.5144988298416138,91.29
63,0.47160227684413686,92.894,0.5857350430156611,89.2
64,0.4617950784428345,93.364,0.5276396033130114,90.86
65,0.4588252000339196,93.5,0.513337843025787,91.67
66,0.45078830066544323,93.75,0.5220884386497208,91.56
67,0.44792144484532154,93.838,0.5167896819265583,91.41
68,0.4402332110783023,94.146,0.5054420783549924,91.86
69,0.4336372874581905,94.364,0.5131628452977047,91.73
70,0.4265569914942202,94.694,0.4960953389542012,91.91
71,0.4266528925474952,94.698,0.48290795465058917,92.64
72,0.41715841822307126,95.064,0.48554278023635283,92.96
73,0.4108229005885551,95.236,0.488984679496741,92.58
74,0.39894856729775746,95.808,0.49248195826252805,92.71
75,0.4029602883264537,95.61,0.45767010654075235,93.73
76,0.3958472641532683,95.886,0.4597986061361772,93.72
77,0.3845460247200773,96.316,0.4625854714761806,93.58
78,0.3807495004685639,96.442,0.4736646979669981,93.07
79,0.37115558166333174,96.89,0.4596827448923377,93.72
80,0.3655420967837429,97.056,0.4654242241684395,93.64
81,0.3643142048202817,97.134,0.44864930684053445,94.29
82,0.35933214807144515,97.302,0.4358899608443055,94.49
83,0.350913194210633,97.656,0.4330894886692868,94.64
84,0.34670900368629515,97.842,0.4325438258768637,94.51
85,0.3437692750140529,97.912,0.4327216065382656,94.94
86,0.3390918704097533,98.11,0.426650455858134,94.84
87,0.33329354184667775,98.316,0.42629805924017217,95.06
88,0.331858481744976,98.338,0.42280998863751373,95.28
89,0.3314536814494511,98.366,0.4214282877083066,95.3
90,0.32590434069523727,98.55,0.42078951755656474,95.37
91,0.32429113206656085,98.662,0.4188005558297604,95.39
92,0.32241861716560694,98.69,0.41387549193599554,95.6
93,0.3226044120843453,98.678,0.4165574089635777,95.58
94,0.3209573378038528,98.7,0.4138160310214079,95.65
95,0.31905101609351993,98.724,0.41147892875007436,95.59
96,0.31912848330519694,98.76,0.4121486816225173,95.71
97,0.3195443353079774,98.786,0.4113193452358246,95.66
98,0.3184506710990311,98.726,0.41031195204469223,95.64
99,0.3183849614751918,98.808,0.41055788118628006,95.75
