epoch,train_accuracy,test_accuracy,train_loss,test_loss,learning_rate
1,10.218,11.12,4.803968528137207,2.304642116546631,0.1
2,12.352,17.14,2.2845408001708982,2.2406867137908937,0.09998903417374227
3,17.352,22.94,2.226677160949707,2.128249774169922,0.09995614150494292
4,26.12,35.37,2.0377586168289183,1.8549288322448731,0.09990133642141358
5,31.826,37.89,1.9072208164596558,1.7666865587234497,0.09982464296247522
6,35.092,40.12,1.8317584693527222,1.7236154565811157,0.09972609476841367
7,38.248,43.14,1.7518109411239624,1.6543960399627686,0.0996057350657239
8,41.688,46.46,1.6772743459320067,1.5600523761749268,0.09946361664814941
9,44.414,50.61,1.617009076652527,1.4687362607955932,0.09929980185352524
10,47.598,53.65,1.5441059644317627,1.396585205078125,0.09911436253643444
11,51.288,56.0,1.4598910057449341,1.3447235002517701,0.09890738003669028
12,56.356,62.24,1.351789741706848,1.2247209972381592,0.098678945143658
13,60.856,65.59,1.2519140990829467,1.1485697658538818,0.09842915805643156
14,64.262,68.59,1.176297110748291,1.0817787506103516,0.09815812833988291
15,67.056,68.56,1.1092550558471679,1.0865293358802794,0.09786597487660335
16,69.354,68.47,1.0560183205413818,1.103963256931305,0.09755282581475769
17,71.18,67.83,1.019774542274475,1.1080099540710449,0.09721881851187407
18,72.938,72.25,0.9786009261322022,1.0056316470146178,0.0968640994745946
19,73.774,65.6,0.9539518902206421,1.1601478588104248,0.09648882429441258
20,74.546,72.12,0.935304822769165,0.9978979366302491,0.09609315757942503
21,75.61,76.09,0.9136501787185669,0.9098573174476624,0.09567727288213004
22,76.268,75.56,0.8976389842414856,0.9283937195777893,0.09524135262330098
23,76.764,65.62,0.880009668045044,1.1858311645507813,0.09478558801197065
24,77.508,80.0,0.8684344562530517,0.8046752469062806,0.09431017896156073
25,77.812,75.22,0.8570931243705749,0.9365078118324279,0.09381533400219318
26,78.274,75.23,0.8443575484848023,0.9251041158676148,0.09330127018922194
27,78.74,78.95,0.8328196047210693,0.8542412696838378,0.09276821300802535
28,79.144,69.77,0.8256927169799805,1.1211394771575929,0.09221639627510077
29,79.78,78.92,0.8122244247817993,0.8394908826828003,0.09164606203550499
30,79.958,79.3,0.8037998073387146,0.840396776008606,0.09105746045668521
31,80.146,80.09,0.7997279060745239,0.8125393905639648,0.09045084971874738
32,80.682,78.58,0.7828249636650085,0.8335758695602417,0.08982649590120982
33,81.06,81.06,0.7759968172836303,0.7893377394676209,0.089184672866292
34,81.326,72.68,0.7693812985610962,1.000059537792206,0.08852566213878947
35,81.452,82.5,0.7653152252769471,0.7597701409339904,0.08784975278258783
36,81.674,79.83,0.7604753336906434,0.8366296624183654,0.08715724127386973
37,81.922,77.26,0.7533691658782959,0.9166563529014587,0.08644843137107058
38,82.28,81.37,0.7496069358825683,0.7825790189743042,0.08572363398164018
39,82.586,82.15,0.737603811340332,0.7632556888580322,0.0849831670256683
40,82.794,83.23,0.732429470462799,0.7240496382713318,0.08422735529643445
41,82.95,84.22,0.7281832447052002,0.7046005244255066,0.08345653031794292
42,82.926,82.78,0.7274882757949829,0.7474524173736572,0.0826710301995053
43,83.442,73.85,0.7160906836700439,1.0040233401298524,0.0818711994874345
44,83.57,81.2,0.7113289774703979,0.7753301345825195,0.08105738901391554
45,83.688,82.19,0.7063084747695922,0.7539964967727661,0.08022995574311877
46,83.992,73.68,0.7013575496482849,0.9790359352111816,0.07938926261462367
47,84.242,83.67,0.6947419640731811,0.726069229888916,0.07853567838422161
48,84.11,75.63,0.6946955326652526,0.9448784130096436,0.07766957746216722
49,84.618,83.78,0.6895486137771606,0.7173978899002075,0.07679133974894985
50,84.808,82.07,0.6860412353134155,0.756702913761139,0.07590135046865654
51,84.788,85.12,0.6804711737060547,0.6830675945281982,0.07500000000000002
52,84.97,85.72,0.6766978514289856,0.6698565036773682,0.07408768370508578
53,85.412,82.97,0.6671372152328491,0.7378209217071533,0.07316480175599312
54,85.372,86.16,0.6678562692642211,0.6675731481552124,0.0722317589592464
55,85.474,82.65,0.6632504925537109,0.7392689701080323,0.07128896457825366
56,85.758,85.82,0.6588031262207031,0.662280204296112,0.07033683215379004
57,85.766,83.88,0.6570949783134461,0.7194127324104309,0.06937577932260518
58,86.108,85.47,0.6499395903015137,0.6740144288063049,0.06840622763423394
59,86.192,80.82,0.6471671237945557,0.806500937461853,0.0674286023660908
60,86.186,84.83,0.64744150806427,0.6986451991081237,0.0664433323369292
61,86.166,86.38,0.6446424680519104,0.6514025436401367,0.06545084971874741
62,86.634,85.37,0.633992705078125,0.6860971985816956,0.06445158984722361
63,86.672,85.91,0.6332215456390381,0.6620702220916748,0.06344599103076332
64,86.454,85.15,0.6337539418792725,0.6736801193237305,0.06243449435824276
65,86.814,83.86,0.6292738888931274,0.7288852905273437,0.06141754350553282
66,86.922,86.24,0.6257446276664734,0.6656720722198486,0.060395584540888
67,87.016,87.2,0.622775063457489,0.6267810903549195,0.05936906572928627
68,87.264,85.2,0.6139965957260132,0.6874854237556457,0.05833843733580514
69,87.826,86.42,0.6050792172813415,0.6429290946960449,0.05730415142812061
70,87.824,87.17,0.604097273235321,0.6241500476837158,0.056266661678215237
71,87.934,84.73,0.5998344443893433,0.6864426561355591,0.055226423163382714
72,87.976,85.45,0.5994588334846497,0.7149175558090209,0.0541838921666158
73,88.078,87.19,0.5953904043197632,0.6374278514862061,0.0531395259764657
74,88.152,87.11,0.5945033353328705,0.628150951385498,0.05209378268646001
75,88.55,87.89,0.584773923072815,0.6074041360855102,0.051047120994167874
76,88.544,86.59,0.5831997804069519,0.6566094274520874,0.050000000000000024
77,88.752,86.47,0.5779951494789124,0.6419280718803406,0.048952879005832194
78,89.032,84.76,0.5709726029491424,0.7064734954357147,0.04790621731354004
79,89.202,89.13,0.5696427987480164,0.5750257961273193,0.04686047402353437
80,89.166,88.3,0.568011928100586,0.6067575190544129,0.045816107833384245
81,89.274,89.49,0.5644506315803528,0.5670520955085755,0.044773576836617354
82,89.468,88.21,0.5582308539962768,0.6069480211257935,0.04373333832178481
83,89.578,86.73,0.5593241798305512,0.6397023184776306,0.042695848571879455
84,89.732,87.37,0.5513719439697266,0.6207997205734253,0.0416615626641949
85,89.832,89.85,0.5510440831947326,0.5584439569473266,0.040630934270713785
86,90.092,89.47,0.5447613803482055,0.5699693190574646,0.039604415459112044
87,90.468,86.74,0.5379564291477203,0.6372538007736206,0.03858245649446723
88,90.528,89.26,0.5323134685897827,0.5688782521247864,0.03756550564175728
89,90.486,89.7,0.5318558316421509,0.5585073934555054,0.03655400896923674
90,90.792,87.53,0.5228177481269837,0.6146758428573609,0.03554841015277642
91,90.9,89.47,0.52383120677948,0.5667793567657471,0.03454915028125264
92,91.052,89.55,0.5179117440605163,0.565086367225647,0.03355666766307085
93,91.31,89.08,0.5137595875167846,0.5874409438610076,0.03257139763390926
94,91.39,86.66,0.5091260806655884,0.6493377916336059,0.031593772365766125
95,91.714,89.61,0.5034385119247436,0.5744926019668579,0.030624220677394863
96,91.602,90.23,0.5034716111946106,0.5450184726715088,0.02966316784621
97,91.992,89.23,0.4963747421836853,0.5740273941993713,0.02871103542174638
98,92.014,89.94,0.49387374923706057,0.558993941116333,0.02776824104075365
99,92.242,89.54,0.4875364509487152,0.5727254777908325,0.026835198244006937
100,92.156,90.19,0.4873239931678772,0.5638388771057129,0.02591231629491424
101,92.566,91.42,0.47884341504096983,0.5165056922912598,0.024999999999999998
102,92.824,91.08,0.4743936989021301,0.5280537149429322,0.024098649531343507
103,92.898,91.14,0.4706461925506592,0.524938760471344,0.023208660251050187
104,93.108,91.15,0.4661055311203003,0.5267672310352326,0.02233042253783281
105,93.478,91.28,0.4572388744544983,0.5212500297546386,0.021464321615778426
106,93.294,91.37,0.4588180696296692,0.5221371123313904,0.020610737385376356
107,93.644,91.25,0.4526271671295166,0.5254169008255005,0.019770044256881267
108,93.686,91.38,0.45023160358428954,0.5236211072921753,0.018942610986084494
109,93.992,91.21,0.44396903502464297,0.5289001423835754,0.018128800512565522
110,93.998,92.29,0.44140425260543825,0.4993786548137665,0.01732896980049475
111,94.344,91.93,0.4332569222354889,0.502768493270874,0.016543469682057093
112,94.58,91.73,0.43055761659622194,0.5147474527359008,0.01577264470356557
113,94.82,92.32,0.4223665006828308,0.49039946479797364,0.015016832974331729
114,94.874,92.65,0.4215630898094177,0.49495514631271365,0.014276366018359849
115,95.176,92.71,0.4139049138736725,0.48502047066688536,0.01355156862892944
116,95.178,92.83,0.41143407123565673,0.48304660143852235,0.012842758726130289
117,95.418,92.52,0.40494612411499026,0.4890923188209534,0.012150247217412192
118,95.712,93.29,0.39991001257896425,0.4722264872550964,0.011474337861210548
119,95.766,93.33,0.3990109404373169,0.47060576028823853,0.010815327133708018
120,95.882,93.62,0.3938677212142944,0.4653029005050659,0.010173504098790191
121,96.134,93.61,0.38863655027389526,0.4653211859703064,0.009549150281252637
122,96.246,93.53,0.38611250326156615,0.46983113346099853,0.0089425395433148
123,96.314,93.92,0.3816589957427978,0.4541873048782349,0.008353937964495031
124,96.742,93.38,0.372668127784729,0.4713679569244385,0.007783603724899249
125,96.988,93.86,0.36789214198112485,0.460420813369751,0.007231786991974673
126,97.054,94.16,0.3656279615211487,0.4460101658821106,0.006698729810778078
127,97.184,94.05,0.3620179835700989,0.450363923740387,0.006184665997806823
128,97.438,94.21,0.35649275679588316,0.45118738260269164,0.005689821038439265
129,97.504,94.52,0.3543818315792084,0.4445207154273987,0.005214411988029368
