epoch,train_accuracy,test_accuracy,train_loss,test_loss,learning_rate
0,29.198,40.19,2.061808423461914,1.703567374229431,0.1
1,46.636,53.26,1.5576079468917847,1.4347753454208374,0.09990133642141358
2,59.846,61.63,1.2740138536071777,1.2376741945266723,0.0996057350657239
3,68.892,69.07,1.0634009423446655,1.088136510848999,0.09911436253643444
4,74.99,72.31,0.9198757754325867,0.9965514345169068,0.09842915805643154
5,78.634,76.54,0.8326163599967956,0.9048339451789856,0.09755282581475767
6,80.834,80.62,0.7795825694656372,0.7992887286186219,0.09648882429441256
7,82.252,80.32,0.7445415202140808,0.8050022411346436,0.09524135262330098
8,83.632,79.85,0.7130985520935058,0.7984218585014343,0.09381533400219318
9,84.244,79.48,0.6921450015449524,0.81951384973526,0.09221639627510075
10,85.036,79.33,0.6740724514961243,0.8256090600967407,0.09045084971874737
11,85.844,80.85,0.6548400640678406,0.7977626420974732,0.08852566213878946
12,86.35,79.82,0.6400048556518555,0.8003005598068237,0.08644843137107057
13,86.822,81.75,0.6275184865951539,0.7772030530929566,0.08422735529643442
14,87.324,80.11,0.6168069829177857,0.8179103278160095,0.08187119948743447
15,88.028,81.02,0.5972703276634216,0.7872939443588257,0.07938926261462366
16,88.51,82.78,0.5867544956970215,0.7397381616592407,0.07679133974894982
17,88.748,83.25,0.5782703187179565,0.7286079206466675,0.07408768370508576
18,89.276,84.36,0.5641569024085998,0.6947308378219604,0.07128896457825362
19,89.606,83.84,0.5551856180381775,0.7369444185256958,0.06840622763423389
20,90.228,81.76,0.5434428258132935,0.7705201538085937,0.06545084971874736
21,90.576,85.22,0.531866184310913,0.671633055305481,0.06243449435824272
22,90.924,83.99,0.5209867098808288,0.71468293094635,0.05936906572928623
23,91.088,86.57,0.5151100074958801,0.6404941657066345,0.056266661678215216
24,91.91,86.42,0.4995941022872925,0.6611260518074036,0.053139525976465665
25,92.504,86.13,0.48696160484313966,0.6506462246894836,0.049999999999999996
26,92.64,86.43,0.4783719777774811,0.6561202664375305,0.046860474023534326
27,93.106,87.99,0.4668961366844177,0.6086044456481934,0.04373333832178478
28,93.712,88.28,0.45445786079406736,0.5932659901618957,0.040630934270713764
29,93.852,89.01,0.4466153715133667,0.5768875601768494,0.03756550564175726
30,94.488,89.16,0.4334356109619141,0.5730220273971558,0.03454915028125265
31,94.998,90.4,0.419234995765686,0.5460745209693909,0.03159377236576612
32,95.462,90.24,0.406614395570755,0.5716300478935241,0.028711035421746366
33,95.828,89.22,0.39632299659729003,0.5784152545928956,0.025912316294914226
34,96.43,90.65,0.3821822263145447,0.5403473081588746,0.023208660251050155
35,96.866,90.22,0.3718281071567535,0.5662363986968995,0.020610737385376346
36,97.532,91.57,0.3553458480262756,0.5164045781135559,0.01812880051256551
37,97.904,91.79,0.3464562574958801,0.5116428562164307,0.015772644703565562
38,98.352,92.61,0.3335970524024963,0.5003723167419434,0.013551568628929433
39,98.71,92.59,0.32400704186439516,0.4959504313468933,0.011474337861210542
40,99.096,92.9,0.3134013649940491,0.4890024022102356,0.009549150281252632
41,99.38,93.44,0.3063749025440216,0.4736977379798889,0.007783603724899257
42,99.512,93.67,0.30177943632125853,0.46384665088653565,0.0061846659978068205
43,99.68,93.71,0.29749787857055665,0.46935043478012084,0.004758647376699033
44,99.794,93.88,0.2943116520690918,0.4599667364120483,0.0035111757055874327
45,99.81,93.92,0.29300259105682375,0.45608834896087647,0.0024471741852423235
46,99.892,94.0,0.2913772290802002,0.45454938926696775,0.0015708419435684518
47,99.892,94.05,0.2910627048492432,0.4517479681015015,0.000885637463565564
48,99.934,94.01,0.2902883407974243,0.4522521203994751,0.00039426493427611173
49,99.926,94.03,0.2903465156745911,0.4527688770294189,9.866357858642205e-05
50,99.928,93.97,0.29024628622055054,0.45166431674957275,0.0
