epoch,train_accuracy,test_accuracy,train_loss,test_loss,learning_rate
0,22.194,30.31,2.143173771018982,1.8401705514907838,0.1
1,37.218,45.38,1.7376790406036378,1.56462998752594,0.09990133642141358
2,47.176,50.58,1.539273364715576,1.5577776781082153,0.0996057350657239
3,56.826,59.49,1.3406558029937745,1.2817137992858887,0.09911436253643444
4,62.83,67.14,1.1969069934844971,1.1047607288360595,0.09842915805643154
5,67.45,68.64,1.0929616674423217,1.1044958168029786,0.09755282581475767
6,71.962,71.88,0.9918279582977295,1.0106642656326295,0.09648882429441256
7,75.082,75.08,0.9154772185707092,0.9265886016845704,0.09524135262330098
8,77.36,79.0,0.8600726901435852,0.8312903905868531,0.09381533400219318
9,78.876,79.91,0.8255354331970215,0.8076417940139771,0.09221639627510075
10,80.21,78.49,0.7935351372146606,0.8749322780609131,0.09045084971874737
11,81.074,81.28,0.7711494401550293,0.7953463415145874,0.08852566213878946
12,81.912,81.32,0.7488949858283996,0.7883506120681762,0.08644843137107057
13,82.546,79.78,0.7315594886779785,0.8162086958885193,0.08422735529643442
14,83.152,83.19,0.716327426624298,0.7177847720146179,0.08187119948743447
15,83.916,84.44,0.6978915479660034,0.6863455072402954,0.07938926261462366
16,84.466,85.0,0.6861088125991821,0.6888941371917725,0.07679133974894982
17,84.652,83.6,0.6774259852981568,0.7145677597045899,0.07408768370508576
18,85.328,83.49,0.6632117247772217,0.7191651092529296,0.07128896457825362
19,85.906,82.95,0.6462431569290161,0.7310011878967285,0.06840622763423389
20,86.2,86.18,0.6364848809814453,0.6608060127258301,0.06545084971874736
21,86.482,86.19,0.6274683186531067,0.6463254321098327,0.06243449435824272
22,87.29,84.14,0.6147344396972656,0.7061195196151734,0.05936906572928623
23,87.73,87.96,0.6018341522216797,0.6071968911647797,0.056266661678215216
24,87.81,87.32,0.5959020343017578,0.6218029647827148,0.053139525976465665
25,88.43,85.89,0.5845753123092652,0.6493597681999207,0.049999999999999996
26,89.006,88.75,0.5721839186859131,0.5915590786933899,0.046860474023534326
27,89.456,87.84,0.5594054022216797,0.5985729635238648,0.04373333832178478
28,89.88,88.16,0.5473756289672852,0.5929566351890564,0.040630934270713764
29,90.492,88.24,0.5335025464630127,0.5974645853042603,0.03756550564175726
30,90.954,88.6,0.5228381002426148,0.5875385493278503,0.03454915028125265
31,91.3,90.8,0.512193249130249,0.5365863980293274,0.03159377236576612
32,91.738,90.76,0.49526242725372316,0.5290839920043945,0.028711035421746366
33,92.31,90.22,0.4858299310874939,0.5528621169567108,0.025912316294914226
34,92.688,91.87,0.47621640590667724,0.5047327686786651,0.023208660251050155
35,93.214,91.53,0.4620185415077209,0.5046394700527191,0.020610737385376346
36,93.766,91.84,0.44809132148742675,0.507216515493393,0.01812880051256551
37,94.27,92.77,0.4367673860359192,0.47629494433403013,0.015772644703565562
38,94.68,92.36,0.42332760976791384,0.49750407161712645,0.013551568628929433
39,95.432,93.13,0.40821891803741456,0.4706880797386169,0.011474337861210542
40,95.806,93.47,0.3968766083335876,0.4588348705291748,0.009549150281252632
41,96.37,93.5,0.3831833893013,0.4559251389980316,0.007783603724899257
42,96.658,94.01,0.37486413343429564,0.4462159507751465,0.0061846659978068205
43,97.106,94.36,0.36603230696678163,0.4383083676815033,0.004758647376699033
44,97.234,94.57,0.359799354429245,0.4335024181365967,0.0035111757055874327
45,97.616,94.67,0.35234792868614195,0.4289722972869873,0.0024471741852423235
46,97.672,94.58,0.3496334662437439,0.4275094055175781,0.0015708419435684518
47,97.936,94.74,0.3437276729106903,0.4235283955097198,0.000885637463565564
48,97.998,94.75,0.34149625379562376,0.4242199489593506,0.00039426493427611173
49,97.996,94.72,0.3402996120262146,0.42495659794807433,9.866357858642205e-05
50,98.068,94.71,0.34107992147445676,0.42460282459259036,0.0
