epoch,train_accuracy,test_accuracy,train_loss,test_loss,learning_rate
0,19.412,26.9,2.2135018882369994,1.966068344116211,0.1
1,25.362,26.56,1.9626361014556886,2.083627032661438,0.09990133642141358
2,29.288,28.42,1.8822682990264892,1.957501044845581,0.0996057350657239
3,30.328,29.31,1.8602936388397218,1.8611105220794677,0.09911436253643444
4,30.756,31.3,1.8601168629837037,1.8893751708984374,0.09842915805643154
5,30.99,30.57,1.8516597018432617,1.9675669702529908,0.09755282581475767
6,32.056,29.27,1.827071445198059,1.9120039974212646,0.09648882429441256
7,32.892,24.93,1.8049125364303589,2.6008883934020997,0.09524135262330098
8,34.13,14.09,1.7812768027877808,2.8267053943634033,0.09381533400219318
9,34.728,22.58,1.7647975594711303,2.2562324489593504,0.09221639627510075
10,35.728,22.09,1.7473086539459228,2.3973815349578858,0.09045084971874737
11,37.012,13.7,1.7305761882781983,4.148385427093506,0.08852566213878946
12,38.212,24.65,1.7076237981796265,2.7362557731628416,0.08644843137107057
13,39.098,30.56,1.6995296111679077,1.86889133644104,0.08422735529643442
14,40.466,24.03,1.6804860440826417,2.8979193912506105,0.08187119948743447
15,41.418,26.91,1.6626059455490112,2.5043005798339846,0.07938926261462366
16,41.648,37.54,1.658311579055786,1.7642135498046876,0.07679133974894982
17,43.518,24.41,1.6316267170333862,5.003925240325928,0.07408768370508576
18,44.78,20.54,1.6122747480392456,4.501196215057373,0.07128896457825362
19,45.288,29.38,1.598458632850647,2.597254766082764,0.06840622763423389
20,45.806,32.84,1.5882093128204346,2.809072613143921,0.06545084971874736
21,46.012,30.88,1.5834578800964356,2.0782556175231934,0.06243449435824272
22,46.644,33.8,1.5638450363922118,2.1766969020843505,0.05936906572928623
23,47.238,38.82,1.5615252423095702,1.830015101623535,0.056266661678215216
24,47.28,10.0,1.553458461303711,414.5117681640625,0.053139525976465665
25,47.848,19.74,1.5421862854003907,3.502481346130371,0.049999999999999996
26,47.988,38.21,1.5412684424591065,1.8815791151046752,0.046860474023534326
27,48.356,12.98,1.5275333007431031,16.123585662841798,0.04373333832178478
28,49.142,43.52,1.517566177406311,1.7251797653198242,0.040630934270713764
29,49.57,27.54,1.511998292427063,2.651517650604248,0.03756550564175726
30,49.93,34.92,1.500690676689148,1.9622523750305176,0.03454915028125265
31,50.302,39.16,1.4958050213623046,2.0626299514770507,0.03159377236576612
32,50.87,50.64,1.484021349105835,1.5111319934844971,0.028711035421746366
33,50.99,34.25,1.474896357498169,2.2608187715530397,0.025912316294914226
34,51.578,42.99,1.4636686631011964,1.7895949979782104,0.023208660251050155
35,51.592,50.42,1.4649544016647338,1.52874331035614,0.020610737385376346
36,52.08,43.0,1.4547708365249634,1.7801031595230103,0.01812880051256551
37,52.492,45.52,1.447096312599182,1.8767204551696777,0.015772644703565562
38,52.794,53.83,1.4386401873779298,1.420395028114319,0.013551568628929433
39,53.368,56.23,1.4256245762252808,1.3722648551940917,0.011474337861210542
40,53.734,55.8,1.4109272163009643,1.36763302192688,0.009549150281252632
41,54.538,54.84,1.3993991653442384,1.4010373025894165,0.007783603724899257
42,55.084,56.47,1.3834757278442382,1.3517877960205078,0.0061846659978068205
43,55.744,54.95,1.3675762590789795,1.427681588935852,0.004758647376699033
44,56.37,58.7,1.3539075453948974,1.301855617904663,0.0035111757055874327
45,56.862,59.65,1.3438799250793456,1.2752203063964844,0.0024471741852423235
46,57.248,59.61,1.3317153903198242,1.2808273212432861,0.0015708419435684518
47,57.64,60.49,1.3228851065444946,1.2544486335754395,0.000885637463565564
48,58.108,60.83,1.3127675494384765,1.248377596092224,0.00039426493427611173
49,58.248,61.03,1.3115743772888184,1.2476686218261719,9.866357858642205e-05
50,58.248,61.03,1.3098390201187133,1.2457183263778686,0.0
