epoch,train_avg_loss,train_accuracy,test_avg_loss,test_accuracy
0,2.191077774747863,23.632,1.8635322368597682,31.85
1,1.7009845609250276,40.162,1.572195092334023,44.88
2,1.4832508652411458,49.762,1.456307377996324,53.74
3,1.2970246341832155,58.308,1.3301729114749763,58.64
4,1.1761545976409522,63.772,1.1201054733010787,67.04
5,1.0850547736563037,67.918,1.0133062472826317,71.47
6,1.0124619081806954,70.992,0.9994754036770591,71.8
7,0.9397251651720013,73.924,0.8809280621854565,77.72
8,0.8822948556117085,76.524,0.8285906337484529,79.53
9,0.840138621190015,78.272,0.9434526623049869,75.05
10,0.8140302859913663,79.572,0.8591160653512689,78.58
11,0.7847485266378164,80.542,0.876716972151889,76.97
12,0.767558841601662,81.384,0.7647612517393088,82.34
13,0.7544973864579749,81.992,0.8352129949799066,79.61
14,0.7382731077921055,82.478,0.8027288215824321,80.51
15,0.7234023585343909,83.014,0.7775020984154714,81.29
16,0.7146766091246739,83.44,0.7434257932856113,82.78
17,0.7040833205823094,83.99,0.7046372007720078,84.15
18,0.6922774686837745,84.398,0.7236671123323561,83.54
19,0.6915097093338247,84.316,0.6731891616990294,85.5
20,0.6770854529822269,84.89,0.7628036873250068,81.54
21,0.677563574917786,84.73,0.7078699273399159,84.21
22,0.6715499938601424,85.164,0.7004661575148378,84.34
23,0.6620902932818283,85.498,0.6850847616980348,84.92
24,0.6592258042691613,85.7,0.6889644800862179,84.74
25,0.6539083673521076,85.816,0.6816467831406412,84.97
26,0.6468158153164417,86.01,0.6755050873454613,85.6
27,0.6466181519848612,86.08,0.6607091019425211,86.11
28,0.6451577508388577,86.148,0.8387690737277647,79.6
29,0.6418931740324211,86.178,0.7228897651539573,83.36
30,0.6344725430926399,86.656,0.6332237358334698,86.92
31,0.6312354702473907,86.764,0.6897201326828969,84.77
32,0.6313831536361324,86.622,0.7355930797661407,83.24
33,0.6250652937632998,87.114,0.6679341845874545,85.39
34,0.6250041002202826,86.956,0.6466341101670567,86.27
35,0.6198752583445185,87.148,0.651643329783331,86.17
36,0.6146447626526094,87.286,0.6335124199903464,87.16
37,0.6114939310209221,87.506,0.6821431909935384,84.78
38,0.6128248290332687,87.464,0.735266080385522,83.31
39,0.6109452638632197,87.454,0.649000891401798,86.93
40,0.6067991080643881,87.534,0.730493720573715,83.27
41,0.6021130534694018,87.906,0.6109044287778154,88.11
42,0.6026090910977415,87.792,0.6024544967126243,88.1
43,0.5982254346465821,87.95,0.650429314073128,86.17
44,0.5963526091459767,87.946,0.6045431004294867,88.14
45,0.5957176482585995,88.006,0.6452027340478534,86.63
46,0.5953102122487315,87.982,0.6327165248273294,87.62
47,0.5895660082854883,88.324,0.6120390514784222,87.24
48,0.5855984172552747,88.494,0.6378763499139231,86.35
49,0.5816151989085595,88.55,0.7408673868903631,83.55
50,0.5859891099240774,88.378,0.6411031597777258,86.6
51,0.5799557340267064,88.642,0.727750301361084,83.19
52,0.5789056504931291,88.684,0.6197528801386869,87.59
53,0.5743214189244048,88.832,0.7176539860194242,83.06
54,0.5711457707997784,88.982,0.5788424958156634,89.0
55,0.5700661812901802,88.948,0.6378279433974737,87.23
56,0.5671108505305122,89.15,0.5811579216130173,88.91
57,0.5671596494324677,89.032,0.5988072387025326,88.2
58,0.5627934191080616,89.36,0.6204390242884431,87.65
59,0.5594379785268203,89.544,0.5982580762120742,87.87
60,0.5567301642102049,89.58,0.7013408036171636,84.46
61,0.5577245824172369,89.416,0.6019893360288837,88.2
62,0.5521273013118588,89.714,0.6073109466063825,87.84
63,0.5477457407033047,89.874,0.5595966634116595,89.6
64,0.5445498673964644,89.928,0.6119160550304606,87.64
65,0.5425997519737009,90.166,0.5500711421423321,89.98
66,0.538239200401794,90.362,0.5847189090674436,88.95
67,0.5374490608797049,90.322,0.5897420588173444,88.79
68,0.5375384968869826,90.236,0.6153662366957604,87.69
69,0.5358755976495231,90.382,0.585326382630988,88.8
70,0.5326036281140564,90.43,0.612109246133249,87.98
71,0.5247298458500591,90.744,0.5881117106992987,88.93
72,0.5274603429352841,90.654,0.5741663899602769,89.12
73,0.5231101017473908,90.926,0.6083469356917128,87.91
74,0.5180945826308502,91.022,0.5223089052906519,91.03
75,0.5126760294065451,91.312,0.5484010448938683,89.96
76,0.5142290387159724,91.15,0.5837549272971817,89.03
77,0.5109849015770056,91.236,0.5657207720641848,89.78
78,0.5075639272894701,91.376,0.5535798212395439,89.82
79,0.5054942543244423,91.61,0.5551669348644305,90.04
80,0.5034954563126235,91.464,0.5267128963259202,90.83
81,0.49624528078471913,91.904,0.5292187536819072,90.83
82,0.4914760570544416,92.116,0.5706875610955154,89.72
83,0.49093644149468074,92.06,0.5820839186257953,88.85
84,0.4851106839716587,92.404,0.558123120401479,90.07
85,0.48485019703960175,92.302,0.5478798060477534,90.25
86,0.4853446070495469,92.17,0.5993745206277582,88.26
87,0.47572507951265713,92.656,0.5935755066479309,88.54
88,0.4733132800787611,92.758,0.5384877320331863,90.85
89,0.46903403587353504,93.018,0.5232413131979448,91.46
90,0.4656066657484645,93.082,0.50163306729703,91.71
91,0.4660524885215418,93.114,0.516428296324573,90.68
92,0.4614601677183605,93.276,0.48481345591665825,92.55
93,0.4568039519555124,93.448,0.5054433911661559,91.81
94,0.454771673206783,93.476,0.5047014084043382,91.83
95,0.4505180022143342,93.782,0.4983031681821316,92.08
96,0.4486744582957929,93.796,0.4928128711784942,92.24
97,0.440219833951472,94.176,0.4972120776206632,91.61
98,0.43957149944342006,94.164,0.4873525304130361,92.06
99,0.4370619910757255,94.244,0.510362591547302,91.33
100,0.43309333623217805,94.39,0.4850958370709721,92.71
101,0.42946387724498347,94.592,0.4973531542699548,92.08
102,0.42419418982227747,94.594,0.4617725727678854,93.1
103,0.4223063414359032,94.834,0.4824707443955578,92.64
104,0.4167875360954753,95.04,0.5076049253155913,92.35
105,0.41458021504494846,95.158,0.4679459322102462,93.38
106,0.4081474435908715,95.348,0.45761405629447743,93.53
107,0.410731530860257,95.192,0.48478130109702483,92.88
108,0.403542716942175,95.634,0.46404403146309187,93.53
109,0.3971931262851676,95.764,0.48097876921484745,92.91
110,0.3920180384460313,95.95,0.4517536438718627,93.78
111,0.39156040473057485,96.058,0.48521260030661956,92.85
112,0.38706212229740894,96.16,0.45942139700998236,93.46
113,0.3853542874078921,96.252,0.46408483310590815,93.38
114,0.38089308287481516,96.404,0.4528368285185174,93.87
115,0.37484004948755056,96.672,0.4447022201139716,94.34
116,0.3735192754994268,96.706,0.44249551582940017,94.56
117,0.3701970446902468,96.876,0.44759784620019455,94.18
118,0.36424589751626524,97.094,0.44435050932666925,94.29
119,0.3615330374606735,97.12,0.44781012663358377,93.97
120,0.3578350208604427,97.37,0.4254032237620293,94.65
121,0.35525886802112355,97.354,0.42995376149310344,94.76
122,0.34898024766951263,97.612,0.43018660816965226,94.87
123,0.34906976248907007,97.652,0.4208478290068952,95.08
124,0.3444661842587659,97.858,0.42407404886016364,95.15
125,0.341136601727332,97.886,0.41514064201825784,95.31
126,0.33942808321369883,98.012,0.4253872489627403,95.14
